variant,seed,duration_s,outcome,mission_complete,fire_overrun,extinction_time_s,fire_damage,burning_health_mean,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,fires_never_seen,response_delay_s,collisions,drones_lost,near_misses,min_distance_m,emergency_fraction,time_patrol,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,time_out_of_service,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_per_drone_m,control_effort_rate,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
perdita totale (radio spenta),1,393.93,tutti gli incendi spenti,True,False,393.93,124373.05703997482,315.72375051398683,0,0,5,1.104,0,1.03,5,10,57,0.09566383487404964,0.0,0.01049890420463845,0.059763155890616794,0.07216806708464167,0.023293055449787912,0.04783844845529648,0.0325776999297686,0.7538606689918186,0.9999420247486479,0.24000000000000007,2.82636363636362,6.019999999999916,183.8107066317392,0.2563137498465195,0,0.0,0.30817043242786035,0.0,0.4279034441905857,0.011551155115511543,0.9468053348467658,127.728902366849,133.42084864334151,122.02435491042078,393.90000000000003
perdita totale (radio spenta),2,55.95,nessun drone ancora in volo,False,False,,39347.8369999972,703.2678641643824,0,0,5,1.5699999999999998,0,1.2640000000000002,6,12,28,0.0949185067570825,0.0,0.07450104259755527,0.10089365504914766,0.18955913017579415,0.05868334822758523,0.09298480786415868,0.06851355376824458,0.41486446231738405,,0.0,2.472608695652165,3.379999999999972,24.2884221546174,0.2496415650748739,0,0.0,1.2746273106738246,0.0,0.658798449612406,0.0,0.9672546393725043,14.832626502193394,13.970758552079149,15.786910807444112,55.9
perdita totale (radio spenta),3,49.92,nessun drone ancora in volo,False,False,,40580.05497999853,812.901742387791,0,0,5,6.3575,1,1.0300000000000002,6,12,30,0.08652751014479812,0.0,0.13596754807693104,0.1331964476495792,0.1341813568376139,0.07476963141025585,0.0637686965811982,0.05670739850427653,0.40140892094004793,,0.0,2.8792307692307517,5.969999999999917,28.1204055693045,0.27877395315245174,3,0.0,1.3394789579158293,0.0,0.4017100868403476,0.14128256513026052,2.1744208459753662,14.054558071805136,14.02194378553024,13.760679657744816,49.9
perdita totale (radio spenta),4,105.78,nessun drone ancora in volo,False,False,,69404.16083999665,656.1179886556688,0,0,5,5.264,0,2.478,6,12,24,0.09638322336590459,0.0,0.027698997920213,0.08190741791140124,0.09709617445013718,0.02902249952732183,0.044282157937856385,0.045306296086214407,0.6746864561663879,,0.0,2.310833333333325,4.869999999999941,49.23993316968968,0.2703085052229674,0,0.0,1.0148691264585303,0.0,0.45815357931251355,0.0728476821192053,0.2790301369862988,40.18555199633806,41.493750458556164,37.3383953028179,105.7
perdita totale (radio spenta),5,50.49,nessun drone ancora in volo,False,False,,44181.39899999824,875.0524658347838,0,0,5,5.572,0,1.0000000000000002,6,12,16,0.08533186679886678,0.0,0.16316762395196024,0.06956823133293752,0.09919455997886811,0.05839440153165896,0.04304482735855496,0.03005545652604484,0.5365748993197487,,0.22000000000000006,2.2488888888888834,2.959999999999981,29.764004859654595,0.28815399403805825,1,0.0,0.8634589947089935,0.0,0.31414021164020967,0.0,2.152882962962961,14.638135996246078,16.273981818918035,11.881753485207337,50.4
perdita totale (radio spenta),6,297.03,incendi fuori controllo,False,True,,343682.9885199702,1157.064904285662,40,0,41,10.063749999999999,37,5.482500000000001,5,10,23,0.09559275706642852,0.0,0.014027763750013638,0.04751764692679497,0.06734729376379676,0.02778899998878165,0.03385179948154081,0.032305939916288474,0.7771605561767171,0.9995708398011807,0.0,2.1701923076923038,2.959999999999981,132.42879290568993,0.25147902345953504,0,0.0,0.1177890011223345,0.0,0.2054001175243257,0.0,1.58594858571652,82.48047836661489,67.45430500584071,111.76910031378365,297.0
perdita totale (radio spenta),7,96.94,nessun drone ancora in volo,False,False,,90834.45049999643,937.0172323086077,22,0,26,0.36000000000000004,24,0.36999999999999994,6,12,24,0.0920384325867712,0.0,0.031798019393440284,0.08085757513239393,0.08891238566812462,0.05262705453544838,0.04234578089539816,0.03381816931435316,0.6696410150603781,,0.0,2.410526315789466,2.949999999999981,52.435807540790414,0.2628526956559893,0,0.0,0.9379772961816298,0.0,0.26811438254834313,0.0,0.761547222708956,33.589655827189,34.59450185337295,32.88488096974808,96.9
perdita totale (radio spenta),8,269.95,nessun drone ancora in volo,False,False,,126452.91045998585,468.43085927018285,25,0,26,3.7549999999999977,20,3.53428571428571,6,12,33,0.08264906293916412,0.0,0.06205161449650003,0.03961536086930551,0.05932271408284566,0.03272210903254224,0.025106501203928107,0.03285793665494152,0.7483237636619413,,0.15,2.1589189189189133,4.379999999999951,145.19099072983673,0.23569821251131937,1,0.0,0.36131283191305397,0.0,0.26839392212155605,0.0,1.9660256966750498,46.2560356272056,37.06728784659475,66.18382031642524,220.65
perdita totale (radio spenta),9,213.89,incendi fuori controllo,False,True,,225838.28099998095,1055.8618027957405,38,0,41,2.364,38,1.374,5,10,24,0.09597900072873125,0.0,0.015572646375863222,0.06654900494023003,0.07395935605528244,0.023976498823381303,0.04135303193230842,0.03272320663269518,0.7458662552396106,0.9731338912482134,0.0,2.5573170731707213,6.649999999999903,100.53376605339665,0.2506637183651605,0,0.0,0.269473027751793,0.0,0.18511796280768822,0.00304022450888681,1.4356592987804784,59.50091459461104,49.48263311124257,81.32358036330875,213.8
perdita totale (radio spenta),10,155.82,incendi fuori controllo,False,True,,186005.9110799884,1193.7229564881814,37,0,41,3.8685714285714288,28,3.8314285714285714,5,10,26,0.08970848451991988,0.0,0.03134492790826857,0.06912890942542005,0.07488876053567023,0.028392803662344375,0.04152761733624418,0.029949086552858762,0.7247678945786338,0.9700163995341315,0.0,2.712857142857129,5.489999999999927,81.02529093002697,0.27797257433111205,1,0.0,0.28879974326059044,0.0,0.3694141331581995,0.0,1.8686365313653142,49.650955287569,47.255420247046104,54.61752060804232,155.8
