variant,seed,duration_s,outcome,mission_complete,fire_overrun,extinction_time_s,fire_damage,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,fires_never_seen,response_delay_s,collisions,drones_lost,near_misses,min_distance_m,emergency_fraction,time_patrol,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,time_out_of_service,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_m,control_effort,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
urti innocui,1,211.78,tutti gli incendi spenti,True,False,211.78,88728.176559989,8,0,8,12.013846153846153,0,12.219230769230771,0,0,1,0.4938293702005288,0.00042496930777221665,0.016266880725281086,0.3446264991970238,0.1429156042433243,0.22659127396339807,0.20195485881562558,0.06764488305473787,0.0,0.9799762974165485,0.47000000000000025,5.870348837209221,15.989999999999704,1157.2066713725449,1315.140833683687,2,0.0,3.462761769800036,0.3079829948039679,0.7664402306348449,0.010667611399779573,0.22650872732270128,36.79166044318772,32.7240440843319,45.55925684498704,211.70000000000002
urti innocui,2,217.02,incendi fuori controllo,False,True,,259668.71895997765,45,0,41,13.45806451612903,19,15.110588235294117,0,0,1,0.7238067522783102,0.00034559026817804824,0.15071191595236538,0.2843017540624027,0.11544250913889333,0.229867446932541,0.1680605474148876,0.05161582649833453,0.0,0.9829913660744527,0.6300000000000003,6.245820895522306,18.43000000000008,1259.884420504402,1255.9195482039997,2,0.0,3.0766513056835603,0.2838709677419355,0.564655192401845,0.035637480798771264,0.13992770218512365,34.620381565697336,32.727218000564264,34.86718115303874,217.0
urti innocui,3,174.47,incendi fuori controllo,False,True,,182832.29511998637,41,0,41,24.437368421052632,8,10.241176470588238,0,0,1,0.649821582925622,0.007890563802754885,0.07365640702317722,0.36029594390604835,0.1188456468160327,0.2373760531895135,0.15271488890155627,0.057111060163172404,0.0,0.9629728775635995,0.0,5.56017857142851,18.5400000000001,1103.2191624901839,1145.797155455869,1,0.0,2.7396788990825645,0.20871559633027523,0.5145666576011462,0.009843272171253829,0.4873419130254528,32.744091796999676,31.16827659848342,34.94262235668137,174.4
urti innocui,4,157.74,tutti gli incendi spenti,True,False,157.74,63591.042399992424,0,0,5,1.8920000000000001,0,0.7979999999999998,0,0,0,0.958284541387686,0.0,0.03571805925362288,0.3294450783988303,0.12103250073958022,0.2519969570177249,0.2002239972950215,0.06158340729471637,0.0,0.9656113509090704,0.0,7.0396078431371985,26.93000000000141,825.0127029564494,982.1011512796097,3,0.0,3.295286408793069,0.3253012048192771,0.9420312830268446,0.13279433523567974,0.05625718608169438,29.303904905729055,25.750491633558937,32.863318332575254,157.70000000000002
urti innocui,5,152.05,tutti gli incendi spenti,True,False,152.05,70504.87473999281,0,0,5,1.9600000000000002,0,1.8200000000000003,0,0,0,1.0164756142686653,0.0,0.060950345281168467,0.33452263509787894,0.14189959443160666,0.2234023895647124,0.17495341444692242,0.06427162117725697,0.0,0.9733802682558698,0.0,5.361724137930985,22.300000000000686,891.9643107247269,900.122255843411,1,0.0,2.2481359649122807,0.06776315789473684,0.7725657894736846,0.04490131578947352,0.35466913684631585,31.819144931540624,35.702249462943094,25.560125396114625,152.0
urti innocui,6,130.23,tutti gli incendi spenti,True,False,130.23,65727.215139994,0,0,5,3.396,0,1.252,0,0,4,0.3435767138188219,0.0022332283907957684,0.029537484962501852,0.26193401417989504,0.15672912027433658,0.19560265171866892,0.28166833038965977,0.07452839847450837,0.0,0.9468481971574664,0.0,8.01075471698106,36.44000000000132,617.9192615449067,766.4308918729976,0,0.0,2.412954429083475,0.009984639016897081,0.8718958013312859,0.056835637480798715,0.6727550307039152,18.43437248124311,12.519851562744924,30.75607907890401,130.2
urti innocui,7,150.91,tutti gli incendi spenti,True,False,150.91,63182.48649999148,0,0,5,1.544,0,3.374,0,0,0,0.9791405708584444,0.0,0.0195591191217732,0.28852185629385607,0.14338568241551744,0.2629216089058114,0.2212466591565506,0.06436507410599183,0.0,0.9755257722526687,0.0,6.4184482758620245,32.55000000000209,762.2165038498509,807.8786700040849,0,0.0,2.8628230616302175,0.12127236580516898,0.871960827626832,0.04660923348796089,0.5892514454422431,32.02341693681275,30.905366508432387,31.398370882905013,150.9
urti innocui,8,197.31,incendi fuori controllo,False,True,,230286.807739983,48,0,41,16.383777777777777,8,8.664000000000003,0,0,1,0.6629221954695388,0.0008109066950484014,0.10637237511188649,0.27491848698306937,0.10918098423796305,0.27542530366747414,0.1799241464361316,0.05417870356293324,0.0,0.8585680144633082,0.0,7.131111111111015,19.06000000000018,1069.1640553608017,1148.5653742536579,2,0.0,3.401081263726979,0.28890015205271163,0.5850819423640068,0.06500253421185989,0.05527558163058865,27.37604315706964,25.52021835596886,36.60667866326297,197.3
urti innocui,9,132.63,tutti gli incendi spenti,True,False,132.63,60861.109459994186,0,0,5,0.8099999999999999,0,0.818,0,0,1,0.7039466603349749,0.0009299052501947781,0.03351428786850509,0.3479793410236757,0.15116615144884651,0.1710711503178626,0.2257533489154152,0.07051572042525604,0.0,0.9690085235345252,0.0,6.549074074074024,24.260000000000993,718.7178162381855,763.9610371657254,2,0.0,2.8071895424836684,0.11538461538461539,0.91062091503268,0.14787581699346386,0.502341433229427,19.875756841193205,15.701859628466769,29.991077651560076,132.6
urti innocui,10,161.89,tutti gli incendi spenti,True,False,161.89000000000001,76133.96309999471,1,0,5,2.0466666666666664,0,2.7399999999999998,0,0,0,0.9728461087916332,0.0,0.04650791689831022,0.36197932752666695,0.14101138633222962,0.24059546605705512,0.14413593592351304,0.06576996726173556,0.0,0.9888285158491604,0.0,4.2915873015872545,15.24999999999972,972.9297889060754,1057.7369394727953,3,0.0,2.753090234857853,0.04326328800988875,0.8665593668452171,0.03466213432220857,1.2438800155823782,27.04856703951644,22.930125091445756,34.04345160627494,161.8
