variant,seed,duration_s,mission_complete,fire_overrun,extinction_time_s,fire_damage,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,fires_never_seen,response_delay_s,collisions,near_misses,min_distance_m,emergency_fraction,time_explore,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_m,control_effort,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
ricerca casuale,11,300.0,True,False,103.62,19485.781050002326,0,6,3,30.778571428571432,0,2.150000000000001,0,0,0.9662531319940075,0.0,0.8122277777826122,0.0683972222222003,0.03224722222222847,0.0703611111110874,0.002322222222222185,0.014444444444443951,0.6817713521956091,0.0,0.32153846153845783,6.639999999999903,2965.723079095178,986.5842713807364,0,0.0,0.6281666666666701,0.0,0.13963216145833152,0.017666666666666685,0.4881571534469948,32.05992901298215,24.3428790277778,40.42552896747081,150.44
ricerca casuale,12,300.0,True,False,63.88,13361.042349999349,0,4,1,13.719999999999995,0,1.290000000000007,0,0,1.055223276925411,0.0,0.8769972222284704,0.03772500000000596,0.021694444444445293,0.0522333333333261,0.0014194444444444265,0.00993055555555596,0.4730504780819894,0.0,0.28388888888888775,2.7299999999999858,3108.6401228363275,952.155487654446,1,0.0,0.4473333333333324,0.0,0.15950187649266365,0.0025555555555555535,0.6150935828877021,22.4857872162109,13.302020381944429,32.87226503654974,102.02
ricerca casuale,13,300.0,True,False,96.34,22987.386499997217,0,11,4,12.647499999999999,0,2.433636363636372,0,0,1.050782431779652,0.0,0.7661944444482741,0.07985277777774544,0.03655000000000703,0.09925555555550557,0.0021083333333333006,0.01603888888888808,0.8243864079875244,0.0,0.26172413793103094,6.909999999999897,2953.875915032098,1015.2406676552687,0,0.0,0.5485555555555562,0.0,0.17211070166365064,0.0070555555555555415,1.208846067162513,30.40215765053962,22.817029461805536,37.949913339729555,194.5
ricerca casuale,14,300.0,True,False,82.89,14091.418399996823,0,4,3,12.229999999999999,0,1.3779999999999926,0,0,1.0489066554429922,0.0,0.8355194444497873,0.07019722222219865,0.02204166666666769,0.06279722222220538,0.0,0.009444444444444946,0.820043904127118,0.0,0.0,0.0,3083.3099727117333,1053.1834263264561,0,0.0,0.523277777777774,0.0,0.2588945966514434,0.004999999999999999,1.0140256880734055,28.565503814372374,23.748851371527753,33.36183990862572,199.1
ricerca casuale,15,300.0,True,False,65.45,23784.8033000002,0,9,6,19.725714285714297,3,1.4657142857142802,0,1,0.2730571800167399,0.00038888888888888914,0.8795194444507477,0.05223888888888165,0.02461111111111345,0.030825000000005518,0.0,0.012805555555555388,0.2744333545364272,0.0,0.0,0.0,3091.4427550596974,797.1211847692804,0,0.0,0.4870555555555533,0.0,0.06467286762844845,0.0,2.4492688679245074,27.13228057200057,19.343548715277787,33.84117302174716,195.78
ricerca casuale,16,300.0,True,False,65.1,21308.363500000734,0,8,3,15.645714285714291,2,1.8742857142857094,0,0,0.9976692850788941,0.0,0.8007972222268072,0.079474999999968,0.029216666666671363,0.07564166666663816,0.0010055555555555464,0.013863888888888511,0.6292478383584479,0.0,0.14480000000000012,1.9800000000000015,2971.583928650831,989.0480366426254,4,0.0,0.6937222222222159,0.0,0.1279819863680609,0.010500000000000032,1.7400307692308121,29.30557126831432,20.712715312499995,38.403114869334836,179.93
copertura persistente,1,300.0,False,False,,38541.114099990686,0,10,4,2.450999999999999,1,1.1319999999999966,0,0,0.9039099619305244,0.0,0.7251472222251559,0.12286111111103964,0.030927777777783348,0.1057722222221663,0.0007888888888888843,0.014502777777777273,0.8719016650714587,0.0,0.11359999999999934,2.8399999999999834,1610.324705819072,1446.0756990373363,2,0.0,1.1257222222222174,0.0,0.13306250000000053,0.0533055555555557,0.7545408816535697,49.0901572554261,3.489702152777784,105.18790083881584,95.91
copertura persistente,2,300.0,True,False,119.97,28157.3684499946,0,9,3,3.779999999999998,1,0.4855555555555528,0,0,1.0167856691884412,0.0,0.836830555560927,0.06328611111109382,0.028216666666670852,0.060255555555541025,0.0,0.01141111111111122,0.4272283124185506,0.0,0.0,0.0,1096.7809647175102,1146.404403246616,2,0.0,1.4079999999999961,0.005,0.11256400194341763,0.006499999999999988,0.49488954600800106,52.10992613581748,8.348366041666663,106.02437656706867,141.13
copertura persistente,3,300.0,True,False,60.14,20089.403899998575,0,4,2,6.745000000000001,1,0.6424999999999954,0,0,1.0141818430435974,0.0,0.8645694444504214,0.05743611111109914,0.018744444444443783,0.04772499999999687,0.0037777777777777094,0.007747222222222656,0.8219925019817241,0.0,0.971428571428565,5.779999999999921,1061.663911822297,1059.4225097613341,3,0.0,1.7343333333333355,0.037,0.131977434679335,0.0011666666666666672,0.13216203703703713,54.43983339159859,10.874371892361097,108.12215371436403,131.08
copertura persistente,4,197.51,False,True,,171411.02265000608,38,4,41,0.0,41,0.00999999999999801,0,0,1.0012096914133117,0.0,0.9648836345853784,0.01655612374057042,0.005383693652641965,0.011505746544479379,0.0,0.0016708014784061398,0.31422910737190796,0.0,0.0,0.0,573.7423109419676,595.3272250634315,2,0.0,1.6387341772151964,0.06784810126582279,0.002947906523855887,0.001181434599156118,0.0,39.70827206584768,10.243797995780604,74.60950679685759,92.99
copertura persistente,5,210.11,False,True,,187336.17670000496,40,0,41,,41,,0,0,1.3640913053490593,0.0,1.0000000000034164,0.0,0.0,0.0,0.0,0.0,,0.0,,,801.7494494167518,979.5915373994592,0,0.0,1.0218150087260045,0.0,0.0,0.0,,35.925774305529856,1.5092733618911645,77.96277408627469,32.44
copertura persistente,6,219.24,False,True,,233188.4475500094,45,3,41,9.72,15,23.011764705882356,0,0,1.0139890199669228,0.0,0.6618431855495353,0.12193258529459848,0.04106230614852002,0.1541499422245698,0.002767134951042955,0.018244845831052355,0.6536706190732104,0.0,0.3033333333333316,4.059999999999958,1313.0861620599692,1256.5088270098329,0,0.0,0.9607664233576645,0.0,0.23026052318698,0.08318126520681249,0.3454372317000012,38.676584752136996,8.110391504143852,74.22394091928192,121.56
copertura persistente,7,181.12,False,True,,141665.91400000593,39,5,41,0.43749999999999645,41,1.1275000000000048,0,0,1.0683184104850127,0.0,0.9012993227318736,0.05635766342757369,0.013641968492344779,0.025098461425205075,0.0,0.0036025839222614277,0.7122660322642723,0.0,0.0,0.0,825.1301300752241,787.800780410927,1,0.0,1.151389655807101,0.0,0.012378939564155512,0.005889931897662436,3.40223713646532,30.19943591346309,1.9365106179826974,64.18635676409755,37.77
copertura persistente,8,300.0,True,False,59.15,19072.180999999804,0,9,3,6.644285714285715,3,0.937142857142855,0,0,1.0230876694670052,0.0,0.8184111111160806,0.06791944444442294,0.026436111111114383,0.07394722222219524,0.001105555555555544,0.012180555555555512,0.7167500773458413,0.0,0.18090909090908955,3.45999999999997,1328.78518020042,1287.6843069958989,0,0.0,1.2134444444444374,0.0,0.1510601079076035,0.01661111111111114,0.5271487901769576,46.95877788754663,2.840041840277776,101.46641198739033,71.19
copertura persistente,9,300.0,True,False,120.17,21307.540299997112,0,10,3,4.938888888888889,2,3.4133333333333287,0,0,0.9892727084584311,0.0,0.7072861111136549,0.12424166666659395,0.03170277777778374,0.1221138888888181,0.0014333333333333151,0.013222222222221972,0.8346662635632665,0.0,0.2149999999999992,2.869999999999983,1417.4861027266445,1135.9392946570053,1,0.0,1.731444444444446,0.0,0.2658248812134529,0.008499999999999997,0.8252528663420985,51.6010415269181,7.302999930555564,102.91526132766818,207.48000000000002
copertura persistente,10,300.0,True,False,74.78,48470.52279999657,0,8,4,5.5416666666666705,3,1.0883333333333287,0,0,1.0616341788531223,0.0,0.8841472222286265,0.04019722222222594,0.02443611111111336,0.04060000000000335,6.944444444444446e-05,0.010550000000000281,0.5866865864841299,0.0,0.013157894736842108,0.25000000000000006,1258.4007494591308,1168.8822853020147,0,0.0,1.384722222222226,0.0,0.0768091918848447,8.333333333333333e-05,0.4718646371296554,50.95221570410384,4.590693003472215,106.94194300529976,99.85000000000001
copertura persistente,11,300.0,True,False,69.71000000000001,12304.00904999859,0,6,2,7.867142857142855,0,0.8928571428571451,0,0,0.9662981873733529,0.0,0.8526972222279401,0.0665888888888686,0.02524444444444711,0.044408333333333216,0.0,0.01106111111111129,0.8242058468248586,0.0,0.0,0.0,1341.5167950449043,1353.471028202141,3,0.0,1.3366111111111112,0.0006666666666666666,0.28125000000000083,0.0011666666666666672,0.38229175215428784,50.3717468917908,5.887518298611103,105.73232425255848,91.63
copertura persistente,12,300.0,True,False,64.65,24856.08514999748,0,4,2,5.223333333333334,2,0.9033333333333342,0,0,1.014462464835953,0.0,0.8725666666728182,0.05050833333332767,0.01649722222222132,0.05192222222221527,0.0013333333333333172,0.007172222222222566,0.6938678132300435,0.0,0.3692307692307687,2.4599999999999915,1124.114537485421,1266.316259986842,2,0.0,1.3707222222222277,0.0,0.11547169811320823,0.009222222222222243,0.5166937385381182,51.21232392399907,5.070774982638871,108.2412542973319,94.78
copertura persistente,13,300.0,True,False,59.03,20995.867449998863,0,11,5,13.702000000000004,2,1.0679999999999947,0,0,1.0036049388716206,0.0,0.796400000004489,0.07800277777774711,0.030144444444449615,0.08263055555552068,0.001169444444444432,0.01165277777777784,0.7098931010093323,0.19000000000000003,0.20047619047619053,2.109999999999999,1182.5263887773315,1175.9604448407413,6,0.0,1.6153888888888792,0.0,0.17169102296450922,0.0038888888888888922,0.3294784063260344,51.10785991063689,7.901208420138878,103.8899655564692,85.76
copertura persistente,14,300.0,True,False,70.07000000000001,11723.632649998526,0,4,2,5.467500000000007,1,0.9424999999999901,0,0,1.081071718153432,0.0,0.8710083333394508,0.04826944444444081,0.01917222222222178,0.05383611111110242,0.00030555555555555577,0.0074083333333337135,0.5543331154272678,0.0,0.08461538461538468,1.1000000000000008,1355.5705752176339,1120.693121578432,0,0.0,1.18611111111111,0.0,0.22406781781781826,0.005833333333333343,0.4691699029126195,47.925806314917416,5.447215677083323,100.87095840551912,65.91
