variant,seed,duration_s,mission_complete,fire_overrun,extinction_time_s,fire_damage,fires_spawned,fires_ignited,peak_active_fires,detection_delay_s,fires_never_seen,response_delay_s,collisions,near_misses,min_distance_m,emergency_fraction,time_explore,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_m,control_effort,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s,coverage_staleness_s,coverage_staleness_hot_s,coverage_staleness_cold_s,coverage_staleness_max_s
concentrazione γ=0,1,300.0,True,False,291.94,30791.590599996598,0,10,4,21.599090909090908,0,2.0590909090909117,0,0,0.9039099619305244,0.0,0.6872472222243287,0.12130833333326328,0.04028888888889252,0.13173888888880936,0.0002027777777777779,0.019213888888888468,0.8136205714061027,0.0,0.022121212121212135,0.7300000000000004,2983.671102473123,2489.7181029151584,0,0.0,0.6943333333333337,0.0,0.19389012599444339,0.01972222222222236,2.574732764691999,31.3732450562004,28.214374444444434,34.44870741228073,169.62
concentrazione γ=0,2,300.0,True,False,88.61,18549.27709999805,0,9,4,5.391428571428571,3,1.0549999999999975,0,0,1.0603803797632811,0.0,0.8646583333393122,0.05140833333332685,0.022900000000001464,0.05006388888888363,0.0,0.010969444444444643,0.5629693116791694,0.0,0.0,0.0,3103.101396894837,2898.896307759336,0,0.0,0.5107777777777771,0.0,0.15429234338747022,0.003055555555555554,0.37306231179059485,27.20972365933758,28.34698081597226,26.411112190241223,152.3
concentrazione γ=0,3,300.0,True,False,255.9,26761.34404999048,0,4,3,14.277999999999997,0,1.6659999999999968,0,0,1.0285098971604076,0.0,0.8042277777824376,0.05914166666665315,0.028722222222226666,0.0919666666666233,0.0026138888888888453,0.013327777777777506,0.7576962105964178,0.0,0.3920833333333293,6.259999999999911,3096.5471500975705,2367.086211562273,0,0.0,0.46755555555555783,0.0,0.10762637186573672,0.012472222222222246,1.289992836676211,27.43374426955771,27.37529135416658,27.49962774488306,135.67000000000002
concentrazione γ=0,4,300.0,True,False,82.2,16764.1333999986,0,7,3,15.166249999999994,0,1.534999999999998,0,0,1.0678351112558722,0.0,0.7855611111153635,0.07684166666663705,0.031566666666672565,0.08409999999996379,0.007536111111111511,0.01439444444444396,0.800648532580622,0.0,1.043461538461527,9.469999999999843,3002.3801521504915,2592.257234312284,0,0.0,0.6499999999999982,0.0,0.24023828330700442,0.011361111111111113,0.5405226396917379,29.884190581377457,31.459393229166565,29.060600390168116,148.46
concentrazione γ=0,5,300.0,True,False,86.48,12548.75679999759,0,1,1,18.840000000000003,0,1.1449999999999942,0,0,1.1081122250246709,0.0,0.8991333333400647,0.03517500000000774,0.01607777777777696,0.041613888888891316,0.00022222222222222237,0.007777777777778216,0.47675348503723797,0.0,0.057142857142857176,0.8000000000000005,3189.918168409805,2732.148882863551,0,0.0,0.4107222222222223,0.0,0.22561651426988003,0.005027777777777778,0.17490021492170732,25.376187811955795,26.630959375000014,24.63641620979528,118.25
concentrazione γ=0,6,300.0,True,False,152.56,37330.746849986004,0,7,4,22.06428571428572,1,1.2957142857142878,0,0,1.037911027778204,0.0,0.7628666666704237,0.09310277777773338,0.03257500000000641,0.09726944444439625,0.00029722222222222243,0.013888888888888506,0.8703134287957698,0.0,0.04280000000000003,1.0700000000000007,3099.4236183704916,2644.90108614906,0,0.0,0.4651111111111123,0.0,0.16167335063300997,0.027194444444444462,1.2307411940704476,29.5150761148462,27.867877656249934,30.61184951388883,155.41
concentrazione γ=0,7,300.0,True,False,228.03,26900.621649998353,0,7,4,36.30428571428571,1,3.660000000000005,0,0,1.1090460301521488,0.0,0.7465638888922901,0.10579166666661073,0.03391666666667377,0.09761666666661817,0.0,0.016111111111110285,0.8037931524709352,0.0,0.0,0.0,3044.8399468383554,2647.4896762186954,0,0.0,0.5586111111111103,0.0,0.15101991088833247,0.017305555555555636,0.4849006168608643,32.426202179992785,35.02258496527786,30.05471843475871,153.83
concentrazione γ=0,8,300.0,True,False,64.74,21132.763349999113,0,9,3,23.878888888888895,1,2.1322222222222225,0,0,1.0514976125707722,0.0,0.8069972222269425,0.07478888888886115,0.029644444444449358,0.07413333333330618,0.0,0.014436111111110619,0.6897649548760741,0.0,0.0,0.0,3096.045638647429,2564.3917941533364,0,0.0,0.4552222222222241,0.0,0.14586872250533542,0.02886111111111101,1.0521280927027674,26.5762525467781,26.166593333333356,26.366914460891753,109.14
concentrazione γ=0,9,300.0,True,False,93.75,19614.899299998808,0,10,4,7.500000000000006,2,3.3866666666666645,0,0,1.0740300254110648,0.0,0.7954555555600239,0.062008333333317206,0.029388888888893672,0.09860277777772838,0.00018333333333333344,0.014361111111110634,0.6675409312697635,0.0,0.026400000000000014,0.6600000000000004,3101.742488431685,2687.5199864267797,0,0.0,0.39233333333333986,0.0,0.1938211872016628,0.024416666666666757,1.610936486973207,21.37113539073742,17.979120624999993,25.37844598958335,108.35000000000001
concentrazione γ=0,10,300.0,False,False,,32973.90759999978,0,8,4,32.90111111111111,0,2.526666666666669,0,0,1.0201060923103358,0.0,0.7729444444484215,0.08303888888885365,0.03940555555555999,0.08461666666663,0.0022611111111110753,0.017733333333332185,0.6880493667203853,0.0,0.2543749999999978,5.419999999999929,2975.406417095386,2742.078905355726,0,0.0,0.6542222222222235,0.0,0.13554629629629814,0.008388888888888852,0.6186023598102429,31.640124316238115,30.375120972222238,32.667683438413775,170.08
concentrazione γ=0,11,300.0,True,False,92.15,21636.330600000634,0,6,3,18.66,0,2.238571428571428,0,0,0.9662981873733529,0.0,0.8312055555608042,0.05741944444443249,0.03257777777778419,0.06209722222220602,0.0012138888888888753,0.015486111111110411,0.7012776943477985,0.0,0.15607142857142756,3.3999999999999715,3047.2216165164896,2726.740225189153,1,0.0,0.4459444444444472,0.0,0.11153233151183872,0.014222222222222188,0.7223844326694664,20.331055087970437,17.918032204861117,22.961322432383035,107.53
concentrazione γ=0,12,300.0,True,False,172.85,23074.99774999542,0,4,2,25.107500000000005,1,2.0999999999999908,0,0,1.0368885675444628,0.0,0.8521055555612604,0.062069444444428266,0.022766666666668062,0.052027777777770734,0.0010694444444444339,0.009961111111111509,0.6215429674008774,0.0,0.21388888888888863,2.339999999999994,3111.562809942525,2681.8058463340712,5,0.0,0.509166666666671,0.0,0.16783470275495305,0.000888888888888889,0.8980007146685793,26.00321994995631,25.830721892361073,26.842753841374307,130.54
concentrazione γ=0.5,1,300.0,True,False,95.25,14865.7647499973,0,10,5,5.554545454545451,0,2.0900000000000003,0,0,0.9039099619305244,0.0,0.7056944444469535,0.11430833333326965,0.0367888888888957,0.12191666666659606,0.003266666666666609,0.01802499999999897,0.7860688947218768,0.0,0.3674999999999979,3.849999999999962,2865.5303697217355,2217.0208161289383,1,0.0,0.6722777777777817,0.0,0.2507140779522946,0.031666666666666725,1.143075908103096,22.45488645033589,8.151384704861115,37.16906469663748,107.98
