variant,seed,duration_s,mission_complete,fire_overrun,extinction_time_s,fire_damage,fires_spawned,peak_active_fires,detection_delay_s,response_delay_s,collisions,near_misses,min_distance_m,emergency_fraction,time_explore,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_m,control_effort,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s
completo,1,207.62,True,False,207.62,87794.28517999162,8,8,12.013846153846153,12.219230769230771,0,1,0.4938293702005288,0.00043348425007224756,0.018712070128118395,0.35892495905955263,0.14421378801007378,0.3876151944254193,0.022625469607936516,0.06790851876825896,0.9788813142178452,0.45000000000000023,0.6698809523809468,6.029999999999916,1134.0376590654582,1290.8397719303205,1,0.0,3.4576107899807296,0.29383429672447015,0.7618275376945889,0.008068400770712926,0.23649610346146085
completo,2,217.02,False,True,,259668.71895997765,45,41,13.45806451612903,15.110588235294117,0,1,0.7238067522783102,0.00034559026817804824,0.15071191595236538,0.2843017540624027,0.11544250913889333,0.3415699013913218,0.05635809295610676,0.05161582649833453,0.9829913660744527,0.6300000000000003,1.4292537313432665,9.759999999999836,1259.884420504402,1255.9195482039997,2,0.0,3.0766513056835603,0.2838709677419355,0.564655192401845,0.035637480798771264,0.13992770218512365
completo,3,174.47,False,True,,182832.29511998637,41,41,24.437368421052632,10.241176470588238,0,1,0.649821582925622,0.007890563802754885,0.07365640702317722,0.36029594390604835,0.1188456468160327,0.36415047477095,0.025940467320073064,0.057111060163172404,0.9629728775635997,0.0,0.9142857142857059,7.24999999999989,1103.2191624901839,1145.797155455869,1,0.0,2.7396788990825645,0.20871559633027523,0.5145666576011462,0.009843272171253829,0.4873419130254528
completo,4,157.74,True,False,157.74,63591.042399992424,0,5,1.8920000000000001,0.7979999999999998,0,0,0.958284541387686,0.0,0.03571805925362288,0.3294450783988303,0.12103250073958022,0.3823380245971677,0.06988292971557873,0.06158340729471637,0.9656113509090702,0.0,2.3627450980391833,14.27999999999974,825.0127029564494,982.1011512796097,3,0.0,3.295286408793069,0.3253012048192771,0.9420312830268446,0.13279433523567974,0.05625718608169438
completo,5,152.05,True,False,152.05,70504.87473999281,0,5,1.9600000000000002,1.8200000000000003,0,0,1.0164756142686653,0.0,0.060950345281168467,0.33452263509787894,0.14189959443160666,0.3694617998462852,0.02889400416529545,0.06427162117725697,0.9733802682558698,0.0,0.6496551724137877,6.499999999999906,891.9643107247269,900.122255843411,1,0.0,2.2481359649122807,0.06776315789473684,0.7725657894736846,0.04490131578947352,0.35466913684631585
completo,6,130.23,True,False,130.23,65727.215139994,0,5,3.396,1.252,0,4,0.3435767138188219,0.0022332283907957684,0.029537484962501852,0.26193401417989504,0.15672912027433658,0.3936624945606399,0.0836084875476888,0.07452839847450837,0.9468481971574664,0.0,2.383962264150913,10.939999999999811,617.9192615449067,766.4308918729976,0,0.0,2.412954429083475,0.009984639016897081,0.8718958013312859,0.056835637480798715,0.6727550307039152
completo,7,150.91,True,False,150.91,63182.48649999148,0,5,1.544,3.374,0,0,0.9791405708584444,0.0,0.0195591191217732,0.28852185629385607,0.14338568241551744,0.3834128509263322,0.10075541713602977,0.06436507410599183,0.9755257722526687,0.0,2.1184482758620446,18.640000000000114,762.2165038498509,807.8786700040849,0,0.0,2.8628230616302175,0.12127236580516898,0.871960827626832,0.04660923348796089,0.5892514454422431
completo,8,197.31,False,True,,230286.807739983,48,41,16.383777777777777,8.664000000000003,0,1,0.6629221954695388,0.0008109066950484014,0.10637237511188649,0.27491848698306937,0.10918098423796305,0.38102900680795215,0.07432044329565358,0.05417870356293324,0.8585680144633082,0.0,2.0969090909090626,15.149999999999721,1069.1640553608017,1148.5653742536579,2,0.0,3.401081263726979,0.28890015205271163,0.5850819423640068,0.06500253421185989,0.05527558163058865
senza predizione delle collisioni,1,159.39,False,True,,179980.4579199851,39,41,11.466451612903224,2.837142857142858,1,151,0.08143761689229738,0.6874490244054472,0.008908965430704489,0.22622707405303102,0.08137273354664837,0.5112982830370242,0.14071355375697983,0.03147939017504056,0.6526917036581436,0.0,5.127500000000458,94.08000000001122,284.9217339266891,352.1614168342312,1,0.0,3.3627327892864574,0.0,0.3886722614224599,0.0,0.38338843904639175
senza predizione delle collisioni,2,147.04,False,True,,178566.18563998945,38,41,3.508421052631579,4.644444444444446,0,111,0.27961776245227005,0.7207562568008347,0.027248821182444122,0.24628785817903845,0.06949922923469001,0.46984380667357584,0.16077257889003388,0.02634770583968043,0.9073083357793168,0.0,11.219090909090978,67.21999999999748,239.17023773715735,351.1891324390987,0,0.0,3.3392290249432977,0.04625850340136054,0.5363157145682003,0.0,0.6669735221050911
senza predizione delle collisioni,3,117.54,False,True,,130018.38303999399,38,41,4.136666666666666,2.1400000000000006,0,168,0.1605014708169227,0.6616896375702135,0.041241279564401476,0.36662696387022486,0.07354942998129443,0.4323209120296569,0.052804718960921954,0.03345669559298904,0.870715587670971,0.0,3.7200000000000104,23.08000000000081,348.2447002012032,477.0556914193677,1,0.0,3.9704964539007026,0.2221276595744681,0.35389028670728795,0.03865248226950351,1.040067350282317
senza predizione delle collisioni,4,217.48,False,True,,253807.8926599797,39,41,28.4735294117647,12.305555555555554,0,252,0.20348276370866586,0.6842276684443875,0.011981944699896574,0.2714004352888775,0.07029382012138209,0.5043337318370071,0.10546946845682922,0.03652059959536963,0.8845799935550376,0.0,6.881250000000004,62.30999999999617,484.4814643498076,686.3708532256155,0,0.0,4.526065624041714,0.2782888684452622,0.5824260281396563,0.016022692425636312,0.104438863752715
senza predizione delle collisioni,5,157.95,False,True,,173533.6274599901,36,41,8.849999999999998,2.763333333333335,2,144,0.07048422081094563,0.7119552601032992,0.03539094650205624,0.3048063733246911,0.07788857233302242,0.4777725018462179,0.07117758784426627,0.032964018149201295,0.8577694235589043,0.0,4.096129032258115,44.03999999999981,364.74361352312184,477.54509429523966,0,0.0,2.576736331011181,0.0,0.5188630565772901,0.0,0.5437323180174888
senza predizione delle collisioni,6,219.59,False,True,,325501.7288199768,37,41,6.41939393939394,10.805,0,200,0.1221163693784039,0.7358030875720258,0.021722300651212556,0.3405551254608319,0.07109082077203524,0.440024591283411,0.09101051960469013,0.035596642227185164,0.864980342009323,0.0,5.9700000000000255,76.27000000000211,400.1574207291787,504.43830170699863,1,0.0,3.145026575550539,0.0,0.5790339596061189,0.08352315869400131,0.19880891943060783
senza predizione delle collisioni,7,205.94,False,True,,194924.1432799898,39,41,1.211875000000001,2.7030769230769254,0,203,0.16377176087394377,0.7001918034376737,0.016962869444174772,0.37381842607851196,0.08314719497586599,0.43407869606000515,0.05584150723512491,0.036151306205694546,0.938194423030048,0.0,1.7427906976744396,23.48000000000087,503.50341019104064,713.4712521893165,0,0.0,2.687064918245071,0.0,0.5704597194112796,0.08037882467217101,0.7245481675822213
senza predizione delle collisioni,8,184.06,False,True,,250112.94529998547,39,41,0.3175,1.5525000000000002,1,201,0.09075303382366753,0.725560505632058,0.041580643992905425,0.2534544894779039,0.0757723930602307,0.5031420913466326,0.08429316527218282,0.04175721684958268,0.6466982590516585,0.0,3.234166666666745,25.440000000001177,369.82578338553697,594.2714465823998,3,0.0,4.6280797101449345,0.23804347826086958,0.2651441816734543,0.012137681159420285,0.19076315973273075
